posting_id,image,image_phash,title,label_group
train_1806248089,c92d9a4a47822bc115122842801b4db5.jpg,f2ac4bb4c9368c59,Koepoe Koepoe Lada Hitam Bubuk Merica 83gr Black Pepper,1903575613
train_4174661706,2d6d63bb99d434b96ee5336af46308a7.jpg,b29ec1603cb733d8,(Bayar Tujuan COD) Jam Tangan Wanita Dior Rantai,2435947686
train_465926663,5b7fdc6c97f18d5cde645d8d0e6bf77b.jpg,8f8f07e0f8788707,Marcks Moisturizer 30gr,2041202864
train_2706068468,9437352e8bca4e36a2787feaf204e023.jpg,af86d40f631e3f80,Otid Cover Penutup Lensa Kamera Webcam Laptop Dengan Slider Blocker,3508388742
train_2609699197,4833c4f36ad4f390353155400536f0f0.jpg,bc1bc2c49b2f2eb0,Alis Gel Anti Air Dengan 5 Warna Dan Kuas,4109046633
train_3967677852,6201ec114038577dc35ea9f3d30c3d0f.jpg,a607a576c7e98c94,Sendok Set Jerami Wheat 3 in 1 Alat Makan Set Jerami Wheat,233895070
train_1702982321,2d9c6e3e119101dfb3585958135159f7.jpg,bf26c06bc0ddc195,Celana Aladin Jumbo Murah / Celana Murah / Celamis Jumbo Murah,3745444660
train_2061939768,4f7fac9f8aa6d9fa3616f8dfb1e4834a.jpg,984eb9c746bb3c30,Sambungan Kran Air Harmonika spray sprinkel jet penghemat air - filter water wastafel,1385441259
train_2251787207,121ad07301a39776414d9449e169d988.jpg,f557ac781aa0c7d0,IKAT RAMBUT FLOWER / KARET RAMBUT KARAKTER BUNGA 2IN1,1507619378
train_2278189641,9b1f173bb164b714bd01e04138639cc8.jpg,85e05a8f78681f6b,Tas wanita chale dan keth 2 in 1 / Tas Jinjing / Tas Selempang / Fashion Bag  #10028,2808615044
train_2990784859,235b59afa551c68d3fd81b8ac6b8f035.jpg,f68ce809e17b8e8a,PROMO  FLASH SALE Hayla Dress TERMURAH / Moscrepe / Tile / Gamis / Dress Muslim,1388358512
train_2203354320,50a73771f9c6349cb65bc5efc76cd519.jpg,cba35c1c236f4dc4,Selai Nanas Royal Isian Nastar 500gr READY,3693750940
train_2319331528,894350f2db64908a122479d12e3b21d4.jpg,ea4a2f3d91721939,Cream malam FLEK GLOW theraskin,3673824327
train_3395454388,5da51f1586af2e2e8f5ba0cafe1cd144.jpg,b7c3cdc5c838983a,CELANA PENDEK PRIA JUMBO POLOS/CELANA PENDEK KOLOR DEWASA BAHAN KAOS BABYTERRY,4152686590
train_3934526303,9a84cd9c2c45445568362720043fc11a.jpg,b7b4c84ac13f36c8,RC SPREI RUMBAI KINTAKUN 180x200 ALMAFI ARTHUR ZIRAFA EVA ROCKSTAR ALBANY ALMAFI,3552785549
train_1519166571,eea843a9317b1ba17e1e3d10afa13b27.jpg,d3d0ced2e6d0c6c1,Zwitsal Baby Fabric Detergent 425 ml,3728367895
train_1196937195,9d5275196e33c1e5f11c1d24eac55865.jpg,b6e6c999f801a35c,Mini Studio Kit / Box Folding Kotak tempat foto produk portable with led,3623006870
train_3873095329,38ce114ad487b28c696b378c4308cbf5.jpg,f237c1c5c96c3436,Sport bra BH BRA FASHION WANITA BAHAN HALUS BRA TANPA KAWAT BRA MURAH SEXY BH,677832251
train_804943391,9461061fccb610b685a6c02faf15c24b.jpg,ab5b64f6201b943b,KAPSUL GURAH OBAT ASMA OBAT PARU OBAT BATUK OBAT SESAK NAFAS OBAT FLU OBAT MIGRAIN GURAH NATURAFIT,4260898999
train_145707973,19ea6be884210586219888dc55e28cf5.jpg,ce27a16742b85e2d,WEDGES SEPATU SELOP FRESHA,1218216866
train_1285771401,37e7f71a949f728f5be0548421513aad.jpg,bc1f91e6c2498c9d,Z6 Smartwatch Dual Camera SIM Card GPS Anti Air untuk Android / iOS,2471903892
train_1096136532,ee1d8b98e93b4e751402180c37c20ced.jpg,b0f0d81cde1bcc66,TUNIK FERANDA LEOPARD TUNIK MONALISA MOTIF TOTOL MACAN TUNIK BUSUI,3406337910
train_2452559733,b912d2a4671620b7cf511a04a97e0bc1.jpg,e9c69624ce39cc93,DISPENSER AIR HOT AND NORMAL murah,3827053870
train_4262357707,33bf69a444302e29946633dcb268e3bf.jpg,f2a3d4cac9077932,CIMOL KEJU MOZARELLA LUMER 20 BUAH! NYAI MERCON,2519284380
train_4165399295,ce13b7f4b73bd5c37ade02f804b71475.jpg,aed34a6569d27894,Stick Touch Lamp 3 Mata LED Lampu Tempel Emergency LAMP STICK N CLICK,1317491259
train_1109787142,014a36a26a1a46ff78c19b7642c3a5a2.jpg,ce43d05c9be319b1,DNM 5 Warna Black Coffee Gray Eyebrow Enhancers Gel Cosmetic,3708670636
train_4154402774,35ba391ad9685b02d86c24a5e8727e10.jpg,bf8cc0d1c43cb26b,KLINSKIN BEAUTY SOAP,950756299
train_1385023210,24f3c7265cab2808e4623a17af0715d1.jpg,f7880dd20d53e2ad,Pigeon Baby Lotion 100 ml,375771768
train_540806590,fda983b4b0a947cbb8f1d9a2b090514b.jpg,e4bc87e619866678,MANGKOK KACA SET / GLASS BOWL SET ISI 5 / MANGKUK,1692766124
train_687561582,6aaa1946dc71d8c10ed0ecd86f594b04.jpg,ae5ac127cee53858,Tenda Anak 100cm Karakter,2651183235
train_694494119,17855c27471758953a18bd6ae3f3f697.jpg,dc2a017b1dc1e33e,Willsen Enzim Mixdent Pasta gigi anak 75ml,498326837
train_4214093905,0f6ff55c4fa704bd9c93072671f3875d.jpg,abb8f7b18092c4b5,COIL 0.3 MESH PnP-VM1 AUTHENTIC OCC VINCI,3127100328
train_3021640199,0cc74dea90d1c8dd8346f5e565192492.jpg,ea9193ca6e6b30d8,Gundam SD EX-Standard 008 GN-0000 04936  / Gunpla / Mokit / Bandai / Original / Figure / Hobby,3591845384
train_3624160821,0f183b28dae18ad305f53aab17877432.jpg,d93aa4d1e2d1e1d4,Celana Formal Panjang Pria Slimfit Warna Hitam Murah Size 27 - 38 Caldin Bahan Kain Teflon,1496952524
train_532389543,3ba0bb28f79ac002a1a0af1d7202763c.jpg,91b72f8606e6466d,1KG MUAT 3PCS | SABRINA OVERALL JEANS / SHABBY MIDI OVERALL JEANSWASH,2503678222
train_508919953,648b24dfc909e8936b5a78a8c1ed2b60.jpg,d2acdc334873a55a,MS Glow New Toner Glowing,1552142539
train_1912536535,3844a6b759a91e2ceed88cb2cec70ac9.jpg,ba7895272ee0ca4b,Pasta Gigi Nasa[jk],3387596372
train_3622660148,9b90d4cf2014b4eb5ad1a66bde96de52.jpg,bec1d46b0276e598,Fermipan Sachet Yeast Obat Roti,3357782879
train_1864800742,8590ce7b534af2e28a50f5e8d3f34578.jpg,e79ecc199266981b,Baseus TYPE C 23cm Support Fast Charging / Kabel Data Type c 23cm Powerbank Support / Type c Nimble,2183454261
train_1480665000,03b82e7438b9c5547fdc9ab220852c8e.jpg,daf70c49b44ab48d,Termurah Celana Tactical Blackhawk Gunung Polisi PDL Army Outdoor 511 Panjang/Celana kantong samping,4114528568
train_3307005719,9c1bf93302d4a492e49318cbe9052b46.jpg,9b09c864cecbb9d2,Tas Wanita Import Terbaru Tas Jinjing Mewah Tas Kerja Wanita tm4586,1450672384
